RxNodeID,TxID,CouplingLoss,BestRSRPNode
183,0,-84.7044544171639,0
183,61,-113.80922488993777,0
183,122,-113.80922488993777,0
184,0,-130.9655192045381,61
184,61,-125.31468302291336,61
184,122,-147.47788213879687,61
185,0,-89.12779163582067,0
185,61,-117.8338245533754,0
185,122,-117.8338245533754,0
186,0,-119.8128617716293,61
186,61,-97.170845071621,61
186,122,-103.67230821782562,61
187,0,-146.22112122913052,61
187,61,-116.80465168216725,61
187,122,-146.22112122913052,61
188,0,-131.7958747992189,61
188,61,-102.00704623428531,61
188,122,-131.7958747992189,61
189,0,-113.77266511037763,62
189,61,-139.27039982383278,62
189,122,-127.9232968468423,62
190,0,-102.01416959106614,0
190,61,-131.12762193608273,0
190,122,-131.12762193608273,0
191,0,-131.9802653186378,122
191,61,-137.34513222780856,122
191,122,-109.54470670888,122
192,0,-134.40199232280906,122
192,61,-134.40199232280906,122
192,122,-107.97245315543091,122
193,0,-96.95748270068052,0
193,61,-126.8544157881793,0
193,122,-126.8544157881793,0
194,0,-159.79904628514052,62
194,61,-164.22202614800037,62
194,122,-136.0993571933326,62
195,0,-90.41300990612768,122
195,61,-103.52907085128535,122
195,122,-82.59704472045894,122
196,0,-129.96339731995207,5
196,61,-117.30156564377684,5
196,122,-105.08795517786315,5
197,0,-89.44697010745854,122
197,61,-97.52549385470932,122
197,122,-70.74602463880008,122
198,0,-141.40273091740596,61
198,61,-111.65268159232181,61
198,122,-141.40273091740596,61
199,0,-126.18109047651079,0
199,61,-147.75880839245008,0
199,122,-130.6411435002313,0
200,0,-85.24595550500075,122
200,61,-87.47502854742642,122
200,122,-59.639611701114895,122
201,0,-121.72105858833335,61
201,61,-95.79754200008982,61
201,122,-124.34705780616073,61
202,0,-88.17723386035318,0
202,61,-113.69429289478019,0
202,122,-103.08150000461626,0
203,0,-125.81740691570941,61
203,61,-120.12745562127463,61
203,122,-142.44309719163266,61
204,0,-99.6905974591429,0
204,61,-108.79112156594267,0
204,122,-123.30415001107814,0
205,0,-106.27532671778079,125
205,61,-97.39208754755664,125
205,122,-121.01278517368337,125
206,0,-139.81023065753493,61
206,61,-118.89981261383043,61
206,122,-121.43174603944298,61
207,0,-119.5970518205269,134
207,61,-134.60542961719483,134
207,122,-145.41658969090423,134
208,0,-125.33271603730228,61
208,61,-123.68080880302745,61
208,122,-143.96099368976581,61
209,0,-120.44905327468668,0
209,61,-122.71559016680824,0
209,122,-140.8997033971021,0
210,0,-154.42584415950185,5
210,61,-129.33695087340672,5
210,122,-142.40830938341122,5
211,0,-100.20895097707928,61
211,61,-88.26821521449467,61
211,122,-112.93206114351811,61
212,0,-91.92825711768465,125
212,61,-113.05922035383809,125
212,122,-95.25355535327633,125
213,0,-139.82886308712114,5
213,61,-123.17058808234736,5
213,122,-117.51769941313358,5
214,0,-145.50764636302455,5
214,61,-125.92975600579523,5
214,122,-125.70886352882653,5
215,0,-117.69605764164511,122
215,61,-117.69605764164511,122
215,122,-87.80312027206136,122
216,0,-118.66939800520883,122
216,61,-103.13574919926661,122
216,122,-96.38620200118797,122
217,0,-150.23481122127492,4
217,61,-129.79325731459124,4
217,122,-157.17276052117327,4
218,0,-133.6025371647873,61
218,61,-103.9426201981211,61
218,122,-133.6025371647873,61
219,0,-99.09941359278952,61
219,61,-76.24695265481134,61
219,122,-100.3728206094965,61
220,0,-107.747819559097,0
220,61,-125.95854767983816,0
220,122,-134.09736892867426,0
221,0,-118.53276297394476,122
221,61,-118.53276297394476,122
221,122,-88.93006768842085,122
222,0,-150.98251292482144,61
222,61,-121.89054181576091,61
222,122,-150.98251292482144,61
223,0,-89.5374228528943,0
223,61,-95.00241827119902,0
223,122,-111.71757321728413,0
224,0,-94.91434365587476,0
224,61,-124.56998456760276,0
224,122,-124.56998456760276,0
225,0,-88.82861575766269,122
225,61,-73.96282169571444,122
225,122,-67.83643700850295,122
226,0,-125.99775886250006,122
226,61,-127.43816811916321,122
226,122,-98.86735893026602,122
227,0,-140.60791277089552,122
227,61,-140.60791277089552,122
227,122,-111.02005353466404,122
228,0,-110.08624583205031,0
228,61,-130.43035723220686,0
228,122,-112.16024673378263,0
229,0,-105.02378453070115,0
229,61,-133.31127693169486,0
229,122,-131.05163825263224,0
230,0,-105.3464941957244,122
230,61,-120.62677481620834,122
230,122,-97.55454751415265,122
231,0,-144.41160850583037,61
231,61,-115.4327071982061,61
231,122,-143.9105359684167,61
232,0,-143.1548866560912,6
232,61,-151.39492015324328,6
232,122,-124.48368986158701,6
233,0,-139.90669490512724,61
233,61,-113.32897737295156,61
233,122,-131.09966034172413,61
234,0,-136.6651732676586,61
234,61,-113.70334358871003,61
234,122,-141.65234740954207,61
235,0,-112.18673299081041,62
235,61,-131.50365367699916,62
235,122,-111.51218264752451,62
236,0,-137.72185621601864,61
236,61,-111.08828740566176,61
236,122,-129.15585555518817,61
237,0,-128.2648307224962,62
237,61,-139.53075457013728,62
237,122,-114.01259713901956,62
238,0,-155.86875658158607,122
238,61,-148.04593384246968,122
238,122,-128.84794341312164,122
239,0,-84.59824984498213,0
239,61,-113.57877249553987,0
239,122,-113.57877249553987,0
240,0,-99.99821594939334,0
240,61,-116.34793480690013,0
240,122,-125.91474413188351,0
241,0,-82.03793213621677,0
241,61,-111.67458923352198,0
241,122,-111.67458923352198,0
242,0,-138.857317766525,5
242,61,-118.70887240653357,5
242,122,-119.63602009631651,5
243,0,-113.22034304406442,122
243,61,-106.21189117643962,122
243,122,-86.125862809116,122
244,0,-89.96236369063477,0
244,61,-117.55961327064777,0
244,122,-112.30946179639363,0
245,0,-88.4589393065621,63
245,61,-110.94999725535074,63
245,122,-116.22061423362807,63
246,0,-141.71096574781305,122
246,61,-141.71096574781305,122
246,122,-112.26677877738221,122
247,0,-126.26421158816598,62
247,61,-145.12170263837078,62
247,122,-124.70569834510333,62
248,0,-120.96193460499322,0
248,61,-122.11211492469845,0
248,122,-141.09602178380212,0
249,0,-116.53568020800391,61
249,61,-90.81448240719563,61
249,122,-106.61619239868325,61
250,0,-110.0516736179818,0
250,61,-134.71916470413984,0
250,122,-138.22714861953077,0
251,0,-118.63679287503244,61
251,61,-91.03693584830566,61
251,122,-118.63679287503244,61
252,0,-141.0287114024437,122
252,61,-141.0287114024437,122
252,122,-111.63799892036664,122
253,0,-143.73289379598128,126
253,61,-116.09688133187109,126
253,122,-137.65299176000298,126
254,0,-82.13722433675028,0
254,61,-111.81858882351173,0
254,122,-111.81858882351173,0
255,0,-108.57342040292355,4
255,61,-102.26061480750522,4
255,122,-124.85039572781389,4
256,0,-130.36639938523376,125
256,61,-135.72651793494418,125
256,122,-152.5635157616656,125
257,0,-133.38035752562854,61
257,61,-105.93574303914284,61
257,122,-127.11601757460544,61
258,0,-121.26053870152866,5
258,61,-111.90700968715818,5
258,122,-94.7908395005305,5
259,0,-145.26449072380765,62
259,61,-152.8329380588214,62
259,122,-125.6896773564821,62
260,0,-92.14128959694476,125
260,61,-107.98874109696969,125
260,122,-118.21900151262577,125
261,0,-91.80690206932246,0
261,61,-112.03106571871851,0
261,122,-118.66636931212281,0
262,0,-91.55659272224057,0
262,61,-118.65273461713113,0
262,122,-111.64891351841632,0
263,0,-130.5857395387119,122
263,61,-135.69395939216315,122
263,122,-107.825338161401,122
264,0,-151.13376252152796,61
264,61,-124.68984779162932,61
264,122,-142.37441630579835,61
265,0,-100.07221351805484,61
265,61,-95.08762175415546,61
265,122,-114.68853939504507,61
266,0,-124.61924886347651,122
266,61,-140.15647200972305,122
266,122,-117.3125968663162,122
267,0,-59.95068964503581,0
267,61,-89.56075656344491,0
267,122,-89.56075656344491,0
268,0,-122.65992656748,61
268,61,-111.35712883259339,61
268,122,-135.92195853263445,61
269,0,-161.3099466622299,126
269,61,-134.3880804827412,126
269,122,-153.10363312475695,126
270,0,-146.3265613839038,61
270,61,-126.692394477644,61
270,122,-126.73693626645908,61
271,0,-132.0015342287659,5
271,61,-115.43280802461365,5
271,122,-109.7143502111449,5
272,0,-130.00459006524804,5
272,61,-146.0053072674988,5
272,122,-123.22860538773752,5
273,0,-107.37844756486584,62
273,61,-118.3073107516664,62
273,122,-92.53706399472536,62
274,0,-156.19864090660636,126
274,61,-129.02087753294416,126
274,122,-148.72121033219975,126
275,0,-150.81444061242394,122
275,61,-150.74488572161712,122
275,122,-121.89772718295136,122
276,0,-111.03137327432769,61
276,61,-84.88922370963725,61
276,122,-113.39444223638678,61
277,0,-122.77485061359342,125
277,61,-126.24032939710644,125
277,122,-144.08750464562226,125
278,0,-130.91226319811477,62
278,61,-142.48896791105184,62
278,122,-117.11127811131533,62
279,0,-106.2157031809347,0
279,61,-135.7759865272375,0
279,122,-135.7759865272375,0
280,0,-113.24630166224028,122
280,61,-100.57247287424309,122
280,122,-88.79134643562546,122
281,0,-94.18353518471,0
281,61,-100.96670913129859,0
281,122,-116.61976115900364,0
282,0,-141.4732048333359,122
282,61,-128.14246346854983,122
282,122,-116.98326270402522,122
283,0,-140.97465474139415,125
283,61,-133.15835599038218,125
283,122,-156.36906397308866,125
284,0,-107.16751611390083,0
284,61,-127.73405728340384,0
284,122,-134.51259403028558,0
285,0,-134.46450401822437,122
285,61,-134.46450401822437,122
285,122,-105.46449397481709,122
286,0,-129.72930453116035,122
286,61,-145.51064978629122,122
286,122,-122.74520959843949,122
287,0,-138.41185106533717,122
287,61,-138.41185106533717,122
287,122,-109.32140801129489,122
288,0,-110.6441301591345,61
288,61,-83.29032229667908,61
288,122,-112.00416255422043,61
289,0,-73.30507630144757,0
289,61,-102.92166154749007,0
289,122,-102.92166154749007,0
290,0,-154.26902716769357,122
290,61,-151.11872873123238,122
290,122,-125.83443095036793,122
291,0,-115.74325661401417,0
291,61,-136.55164933981774,0
291,122,-143.1398686555216,0
292,0,-118.1599138456329,122
292,61,-135.85700690257613,122
292,122,-114.41651230735366,122
293,0,-130.77549686210256,61
293,61,-101.767622389068,61
293,122,-130.77549686210256,61
294,0,-132.63270977884318,61
294,61,-109.43287513129783,61
294,122,-118.08514452904893,61
295,0,-131.69857394045403,122
295,61,-113.86283531971004,122
295,122,-110.50337104818998,122
296,0,-130.07255100580224,62
296,61,-143.61447609070837,62
296,122,-119.35351213985146,62
297,0,-114.76735832963693,122
297,61,-131.2064073952419,122
297,122,-109.339606716061,122
298,0,-116.2088006726089,5
298,61,-142.94013854017325,5
298,122,-134.31901120665117,5
299,0,-121.97021788526408,0
299,61,-145.47961171455967,0
299,122,-150.04508480203364,0
300,0,-172.5334281091814,4
300,61,-152.17394166479494,4
300,122,-179.53057589557983,4
301,0,-119.24944742446904,61
301,61,-93.07278072659645,61
301,122,-109.23890024180339,61
302,0,-120.69600132645708,61
302,61,-90.99722543333007,61
302,122,-120.69600132645708,61
303,0,-92.93300782569305,122
303,61,-92.93300782569305,122
303,122,-63.40603632857528,122
304,0,-113.48303042192597,122
304,61,-110.24554565199097,122
304,122,-85.19694398154823,122
305,0,-110.19122027429563,61
305,61,-82.46043989769161,61
305,122,-105.53851775318239,61
306,0,-108.19854912218611,0
306,61,-128.34154421871213,0
306,122,-109.4104314965499,0
307,0,-125.40917404651715,122
307,61,-136.52650946719717,122
307,122,-111.15800818993354,122
