ID,X,Y,Z,Indoor,InCar,BSdist,GCellID,FrequencyGHz
4646,-231.663982,-30.107363,1.5,false,false,234.791192,0,3
6175,-12.080196,163.99316,1.5,false,false,166.108211,0,4
49196,54.653689,210.451059,1.5,false,false,218.698248,0,3
48573,224.003317,153.040125,1.5,false,false,272.306842,0,1
14936,-235.415458,-119.440559,1.5,false,false,265.025914,0,2
52145,37.947434,-43.923337,1.5,false,false,62.622019,0,1
25409,-216.258075,-0.207878,1.5,false,false,217.531258,0,1
60008,-55.034011,139.682518,1.5,false,false,151.961173,0,4
68933,16.292655,-22.986849,1.5,false,false,36.689179,0,1
59668,-207.263488,-31.201616,1.5,false,false,210.912173,0,2
487,-24.541136,5.336413,1.5,false,false,34.39469,0,4
57782,63.729445,-117.017703,1.5,false,false,135.302753,0,4
50781,53.694803,214.07915,1.5,false,false,221.957798,0,4
37757,-46.092309,-231.509918,1.5,false,false,237.220558,0,4
44424,21.144751,148.137441,1.5,false,false,151.472941,0,2
59194,-149.662088,-77.48528,1.5,false,false,170.161568,0,1
52166,81.0755,-192.65865,1.5,false,false,210.339825,0,2
55665,55.025888,-163.856835,1.5,false,false,174.439562,0,2
27954,133.487385,205.261538,1.5,false,false,245.974452,0,3
70432,226.394156,-104.724859,1.5,false,false,250.547121,0,4
33220,-218.627515,-36.137089,1.5,false,false,222.836553,0,1
60884,241.545023,-129.385089,1.5,false,false,275.021362,0,3
14245,55.454649,218.580854,1.5,false,false,226.726835,0,2
13270,183.36721,-42.272089,1.5,false,false,189.638375,0,3
43896,84.958681,34.76427,1.5,false,false,94.756435,0,4
40239,92.111868,-82.588261,1.5,false,false,125.927229,0,3
46820,-61.018484,-229.044546,1.5,false,false,238.195108,0,2
21601,-3.77444,-129.845009,1.5,false,false,132.008419,0,2
56711,-31.559735,105.719774,1.5,false,false,112.804865,0,3
29614,27.727726,-225.182216,1.5,false,false,228.096705,0,1
57391,-144.59497,178.07565,1.5,false,false,230.588144,0,2
25736,42.059671,-238.718602,1.5,false,false,243.532004,0,1
25758,-239.552556,-74.073334,1.5,false,false,251.842284,0,3
27972,-226.835842,147.99384,1.5,false,false,271.861961,0,2
67109,32.962925,-142.304143,1.5,false,false,147.95024,0,1
9072,-83.061474,73.42556,1.5,false,false,113.325952,0,4
67630,-212.687641,154.003993,1.5,false,false,263.638982,0,3
57398,-106.201096,196.770911,1.5,false,false,224.832636,0,4
13263,176.124521,-89.683342,1.5,false,false,199.035672,0,1
36423,-61.763233,185.637162,1.5,false,false,197.048479,0,1
43835,-86.57158,126.871598,1.5,false,false,155.381115,0,4
37896,116.10716,120.590931,1.5,false,false,169.042288,0,2
67372,-64.14081,-215.063628,1.5,false,false,225.651629,0,2
680,241.565682,-15.255583,1.5,false,false,243.185036,0,2
33578,60.697715,90.47813,1.5,false,false,111.457411,0,1
47030,-0.329984,126.613498,1.5,false,false,128.776306,0,2
7690,-239.191346,40.201804,1.5,false,false,243.682036,0,1
23467,-68.586632,-31.326639,1.5,false,false,78.979329,0,2
29033,112.851954,58.425072,1.5,false,false,129.233519,0,1
9415,136.89887,-203.577088,1.5,false,false,246.449146,0,4
69124,-66.114299,134.945152,1.5,false,false,152.097155,0,4
36020,-220.63383,114.28705,1.5,false,false,249.58579,0,3
56870,86.066764,-137.607335,1.5,false,false,163.998526,0,1
34523,160.748658,90.777773,1.5,false,false,186.099396,0,1
32486,-132.533117,-132.996139,1.5,false,false,189.222752,0,1
59461,-108.56717,49.473594,1.5,false,false,121.600645,0,1
8271,-10.544075,280.193213,1.5,false,false,281.374598,0,1
32352,-82.458991,-143.043002,1.5,false,false,166.772407,0,2
14587,-105.670849,221.285852,1.5,false,false,246.3453,0,3
31375,-72.450136,-61.079592,1.5,false,false,97.631904,0,2
2956,179.411021,162.53484,1.5,false,false,243.224462,0,2
60606,92.2059,-184.894074,1.5,false,false,207.942292,0,4
14590,-10.705322,-171.241558,1.5,false,false,173.177727,0,4
12608,-147.511565,-144.306522,1.5,false,false,207.692764,0,3
30569,-47.223992,-237.320612,1.5,false,false,243.111967,0,4
62759,-222.329223,-98.090465,1.5,false,false,244.139863,0,2
28389,216.574964,163.607389,1.5,false,false,272.441449,0,3
70020,93.902867,-197.406179,1.5,false,false,219.86177,0,4
13335,-5.592446,-221.808978,1.5,false,false,223.120479,0,3
69565,-220.699638,32.780332,1.5,false,false,224.35492,0,3
57393,-240.754112,36.633017,1.5,false,false,244.656433,0,2
19012,-43.091044,161.199679,1.5,false,false,168.506452,0,4
50651,232.078847,154.545236,1.5,false,false,279.816138,0,1
15580,-216.962904,55.626606,1.5,false,false,225.209837,0,4
49445,170.597439,76.656389,1.5,false,false,188.499173,0,3
28633,60.557711,-150.991945,1.5,false,false,164.371694,0,1
3510,-148.320147,52.253867,1.5,false,false,159.001833,0,4
2831,-18.696247,16.219033,1.5,false,false,34.129997,0,3
52283,-154.450018,-143.699234,1.5,false,false,212.26523,0,2
43393,215.813807,-102.098978,1.5,false,false,239.900085,0,4
34052,58.994827,218.178858,1.5,false,false,227.232598,0,4
